rates_star;titles;user_name;date_comment;who_found_comment_helpful;comments;
"6/10";"Starts very strong and then fades in the stretch";"artfuldodger-16944";"11 October 2023";"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"This review is based on Season 1, and I haven't played the video game. The general plot involves a weary middle-aged man and a young girl bonding on a quest in post-apocalyptic America. The first few episodes contain a lot of post-apocalyptic excitement. The first episode showing the world unraveling from a contagious fungus is excellent, and the second episode is almost unbearably tense as the heroes barely evade the horrifying fungal creatures. And then something goes wrong. Perhaps the writers ran out of good filmable source material. In a nine-episode series, there's two entirely superfluous episodes, one involving a love story between two men and a flashback episode involving the girl. Both episodes seem oddly out of place and do nothing to advance the plot. Also, as the pair works their way west into less populated areas, the threat comes from other humans, and the fungal creatures barely seem to be a danger at all.

The two travelers gradually form a quasi-father/daughter relationship, but some of the editorial choices are odd. By far the most compelling character in the show is the older man, well-acted by Pedro Pascal, who feels his age and begins to doubt his competence as the pair makes their way west. But the show focuses more heavily on the young woman who, while she's strong-willed and intelligent, hasn't lived long enough to be all that interesting. Imagine a version of ""True Grit"" where the focus is not on the aging gunfighter but on the girl he's trying to protect.

The show looks good and the early episodes have moments of intense excitement, but there are several easily skippable episodes, and the latter episodes move slowly at times. The ending is a disappointing anti-climax. Overall, if you like this sort of science fiction, I think this is a qualified thumbs up."
"7/10";"Well made. Skip Episode 3";"Justas_P";"11 October 2023";"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"It has been a few years since I played the original game but as far as I can tell this show is quite accurate while still adding its own little twists which do not make it differ from the original storyline.

Episode 3 was extremely weird. Yes you already know where this is going. The entire episode feels out of place and more of a filler. It adds nothing to the show and can easily be skipped. The multiple make-out scenes are really in your face and I would assume just make the average person feel uncomfortable. This episode is nothing more than out of place propaganda for the LGBT. But I still must admit that the episode is still very well made and does not drop in quality from the other episodes. It also did start out great until it got well... weird.

The acting in the show was great and the set pieces were amazing. I assume alof of CGI was used but it looked well done and easily fooled me into making it look realistic. You can easily tell that alot of effort went into making this which I can respect.

In conclusion the show is very well made and game accurate. I recommend skipping episode 3 if you don't like old guys making our for multiple scenes and instead just look up the context for the episode online. Episode 3 adds very little to the story. Other than that the show was pretty good."
"5/10";"Surely overrated";"Leofwine_draca";"6 October 2023";"2 out of 4 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"Review of Season One:

Screen adaptations of video games are always hit and miss, but when I heard all the rave reviews about this one I started believing the hype. I shouldn't have done. On watching THE LAST OF US I felt like I was experiencing yet another run-of-the-mill, generic, hackneyed post-apocalyptic show just like THE WALKING DEAD, in which all of the interesting apocalypse stuff is hurried over in the first episode and everything gets increasingly cliched from there. Season one has only nine episodes and yet two are dull bottle fillers, while the leads are unlikeable, particularly Ramsey's bratty character. When the action hits it's pretty good, but the rest just didn't work too well for me."
"10/10";"Would highly recommend this show.";"nguyenj-69308";"25 September 2023";"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"I applaud hbo for making video game to TV show adaptation. The game itself was perfect but hbo made a series that can actually hold it's own berricks. It was really something different that actually made a original story that explore areas where the game never did. The direction of the film actually differs from the game but I won't spoil the show. The actors were phenomenal but I'm looking forward to season 2 and what the writers can do that differs from the video game. Even so, this is a show that rather you have played the video game or not, the story line that amyone can easily adapt too. This is a series that is must watch and highly enjoyable."
"10/10";"Worth watching";"csfera";"23 September 2023";"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"It's much better than I expected, the series has very diverse character portrayals. It shows the role of a father, which is very fashionable these days, and in addition, the relationship between the main characters develops interestingly, which is reframed a couple of times as their common story develops. The series uses the generic topic, ie. Road walked together, while the characters are developing. I. like the way how the trust develops between the main caracters and the flashbacks are adding extra. The whole starts as an average 'walking dead' style plot but as the past of the main chatacters reveals, it allways adds an extra twist ."
"7/10";"Pretty good but left a lot of potential on the table";"MovieNinjaGuy";"12 September 2023";"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink";""
"3/10";"Ok!";"mgrjvbvz";"12 September 2023";"2 out of 11 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"I had high hopes for the show, but I ended up with mixed feelings after watching it. The show looks great in terms of how it's made, but there's a big problem - too much bad language, especially from an underage character. This makes it not suitable to watch with family, and I think the people behind the show should have thought more about this. Also, the story and the characters sometimes feel confusing and inconsistent, which made it hard for me to really get into the show. Overall, while the show has some good parts, the excessive swearing and story issues make it a missed opportunity for something better. If you can ignore these problems and just want to see something that looks nice, it might be okay for you. But if you want a show that's good for families and has a strong story, this one falls short. The creators should pay more attention to these things in the future."
"8/10";"how to make a game into a movie PROPERLY";"s_simov";"7 September 2023";"2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"Finally, after so many decades, we have a superb movie adaptation of a game.

I played the game for the first time half a year ago, and i love it. Different than the normal shooters, and most important - superbs story, dialogues and well written characters. And this adaptation delivers it almost 100% as the game, with very little changes.

Let's start with that statement. Yes, there are few changed stuff from the game . Most noticable the Bill episode, where .. well it's nothing like the game, and with the all-needed-political homosexual element that it put in every single new movie (nothing agains that, when it fits the script and done well , not just put in your face because they have to have it if they want to win awards). Yes, it's nothing like the game, but it was actually made well. Also the acting there was sooooooo good.... The other changes are much less significant and not that different than the game. I guess the game-version would not have made good episode, as it will feel very ""gaming"".

Besides that, the rest is more or less exactly like the game. Most , if not all of the key moments were put in there, most of the good dialogues, are in there as well.

Acting of both Pedro and Bella is outstanding. While Bella doesn't look like the game character, her personality is spot on. Same goes for Pedro's character. You can't find any real flaw there But we knew that, Pedro already has proven himself as a good actor.

Set and decoration- holy S.... they did outstanding job. Idk how much is CGI and how much is real prop, but it looked like the game for sure. They outdid themselves there.

The only real negative i'd say about this movie, and the reason why i give 8 instead of 10/10 is becuase the action is very minimal. While the game itself is with very little material so it can make you use more stealth and strategy (unlike most other games where you have 1000000bullets so you can kill everything twice...) there's ton of action all around - both with infected and with normal humans. Yes, i know, we have the Walking dead, where you have ton of action ,and this movie accents more on the relationship and the drama of the people (which i actually like and prefer) but... tad more action would have been great.

Lets hope they do Last of us 2 into a season 2... that way they may decide to port the game into PC as well so i can play it lol :D (yep, they did terrible job with optimizing the game for PC but was still playable)"
"4/10";"David 10/10. This season 1/10";"dakuchonekobing";"6 September 2023";"1 out of 4 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"If there was no ep 8, I would not hesitate to rate this season 1/10. Too boring. I have never played the game TLOU, my reviews are the same as someone who has never heard of Cordyceps mushrooms, Ellie or Joel in the game. I feel like too many people flatter this show because they used to play the game. Especially many people are fans of shows about Zombies or Walkers, this show is overrated i'm saying. With the beautifully designed backgrounds, ruined buildings, the streets of the apocalypse... I was quite impressed with the behind-the-scenes production design team, hairdressing makeup... With all these, the characters are boring and wasteful. Some characters are described quite interestingly but in the end they die too quickly and unimpressively. Joel's plot armor is way too strong and makes the show unreal, sometimes I feel like they're introducing the game rather than telling the story in depth. Everything is too predictable, the dialogue is boring, the story line drags on. They should refer to some novel to make Season 2, otherwise this show will become a Clicker, boring, and blind."
"9/10";"Brilliant series";"edwin-van-unen";"4 September 2023";"2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink";"Finally a series, or film for that matter, that sticks to the storie that has been told in the game that got it all started.

Teams that work on games are not any less of story tellers than film-makers are, yet their works often get misused by directors that want to make their own story of it and make it all a ""based on the story of..."" mixture (e.g. Resident Evil could've been SO MUCH better).

But to get back to The Last of Us, it's a very well written story, it's got those tense moments and the casting agency did a great job. I found it to be one of the most enjoyable series from the last 5 years.

If you enjoy the zombie-like series/films, you're definitely going to enjoy this one. The quality is right up there with the first 2/3 seasons from the Walking Dead."
